Order_ID,Date,Region,Category,Sales,Profit,Quantity
1001,2025-01-05,East,Electronics,1200,240,3
1002,2025-01-06,West,Clothing,450,60,5
1003,2025-01-07,North,Furniture,800,120,2
1004,2025-01-08,South,Electronics,1500,330,4
1005,2025-01-09,East,Clothing,700,95,6
1006,2025-01-10,West,Furniture,650,85,3
1007,2025-01-11,North,Electronics,1100,210,2
1008,2025-01-12,South,Clothing,400,50,4
1009,2025-01-13,East,Furniture,900,135,3
1010,2025-01-14,West,Electronics,1300,260,5
1011,2025-01-15,North,Clothing,550,70,4
1012,2025-01-16,South,Furniture,750,115,2
1013,2025-01-17,East,Electronics,1600,400,6
1014,2025-01-18,West,Clothing,500,65,3
1015,2025-01-19,North,Furniture,850,130,4
1016,2025-01-20,South,Electronics,1400,290,5
1017,2025-01-21,East,Clothing,620,80,4
1018,2025-01-22,West,Furniture,720,110,2
1019,2025-01-23,North,Electronics,1700,420,7
1020,2025-01-24,South,Clothing,480,55,3
1021,2025-01-25,East,Furniture,980,150,4
1022,2025-01-26,West,Electronics,1250,250,3
1023,2025-01-27,North,Clothing,530,68,2
1024,2025-01-28,South,Furniture,880,140,3
1025,2025-01-29,East,Electronics,1550,360,5
